ID;Identity;FamilyName;MaidenName;FirstNames;Sex;BirthDate;BirthLocation;DeathDate;DeathLocation;Nationality;Masters;MedallistAt;FirstMedal_Date;FirstMedal_Class;SecondMedal_Date;SecondMedal_Class;ThirdMedal_Date;ThirdMedal_Class;FourthMedal_Date;FourthMedal_Class;FifthMedal_Date;FifthMedal_Class;AcadémieBeauxArts_ElectionDate;LegionHonneur_ChevalierDate;LegionHonneur_OfficierDate;LegionHonneur_CommandeurDate
98;Chenu, Fleury;Chenu;;Augustin Pierre Bienvenu;Man;1833;Briançon;1875;Lyon;French;"Bonnefond, Claude; Guy, Louis; Genod, Michel Philibert";Salon de 1868;1868;Unique medal;;;;;;;;;;;;
99;Chevandier de Valdrôme, Paul;Chevandier de Valdrôme;;Paul;Man;1817;Saint-Quirin;1877;Pourville;French;"Picot, François Edouard; Cabat, Louis; Marilhat, Prosper";Salon de 1850-1851;1845;3rd class medal;1851;2nd class medal;;;;;;;;1869;;
100;Chintreuil, Antoine;Chintreuil;;Antoine;Man;1814;Pont-de-Vaux;1873;Septeuil;French;Corot, Camille;Salon de 1867;1867;Unique medal;;;;;;;;;;1870;;
101;Cibot, Édouard;Cibot;;François-Barthélemy-Michel-Edouard;Man;1799;Paris;1877;Paris;French;"Picot, François Edouard; Guérin, Gabriel Christophe";"Salon de 1857; Salon de 1863";1836;2nd class medal;1843;1st class medal;1857;Rappel of 1st class medal;1863;Rappel of 1st class medal;;;;1863;;
102;Cicéri, Eugène;Cicéri;;Eugène;Man;1813;Paris;1890;Marlotte;French;"Isabey, Eugène; Cicéri, Pierre";Salon de 1852;1852;3rd class medal;1876;Gravure;;;;;;;;;;
103;Claude, Jean-Maxime;Claude;;Jean Maxime;Man;1823;Paris;1904;Maisons-Lafitte;French;Galland, Pierre Victor;"Salon de 1866; Salon de 1869; Salon de 1872";1866;Unique medal;1869;Unique medal;1872;2nd class medal;;;;;;1884;;
104;Clément, Félix;Clément;;Felix Auguste;Man;1826;Donzères;1888;Algers;French;"Picot, François Edouard; Drolling, Martin; Bonnefond, Claude";"Salon de 1861; Salon de 1867";1861;3rd class medal;1867;Unique medal;;;;;;;;;;
106;Cock, César de;Cock;;César de;Man;1823;Gand;1904;Gand;Belgian;Vigne, Felix de;"Salon de 1867; Salon de 1869";1867;Unique medal;1869;Unique medal;;;;;;;;;;
105;Cock, Xavier de;Cock;;Xavier de;Man;1818;Gand;1896;Deurle;Belgian;Braekeleer, Ferdinand de;Salon de 1857;1857;3rd class medal;;;;;;;;;;;;
107;Coëssin de la Fosse, Charles-Alexandre;Coëssin de la Fosse;;Charles Alexandre;Man;1829;Lisieux;1910;Paris;French;"Picot, François Edouard; Couture, Thomas";Salon de 1873;1873;3rd class medal;;;;;;;;;;;;
108;Cogen, Félix;Cogen;;Félix Camille Gislenus;Man;1838;Saint Nicolas;1907;Bruxelles;Belgian;"Vigne, Felix de; Canneel, Théodore Joseph";Salon de 1875;1875;3rd class medal;;;;;;;;;;1883;;
556;Coignard, Louis;Coignard;;Louis Jérôme;Man;1812;Mayenne;1883;Paris;French;Picot, François Edouard;Salon de 1848;1846;3rd class medal;1848;1st class medal;;;;;;;;;;
557;Coignet, Jules;Coignet;;Jules Louis Philippe;Man;1798;Paris;1860;Paris;French;Bertin,  Victor;Salon de 1848;1824;2nd class medal;1848;Rappel of 2nd class medal;;;;;;;;1836;;
109;Colas, Alphonse;Colas;;Alphonse Marie;Man;1818;Lille;1887;Lille;French;Souchon, François;"Salon de 1849; Salon de 1863";1849;3rd class medal;1863;Rappel of 3rd class medal;;;;;;;;;;
110;Colin, Paul;Colin;;Paul Alfred;Man;1838;Nîmes;1916;Paris;French;"Colin, Alexandre Marie; Laurens, Jean Paul";Salon de 1875;1875;3rd class medal;;;;;;;;;;1883;1901;
111;Collart, Marie;Collart;Collart;Marie;Woman;1842;Bruwelles;1911;Bruxelles;Belgian;"Chabry, Léonce; Verwée, Alfred";Salon de 1870;1870;3rd class medal;;;;;;;;;;;;
112;Collin, Raphaël;Collin;;Louis Joseph Raphaël;Man;1850;Paris;1916;Brionne;French;"Cabanel, Alexandre; Bouguereau, William";Salon de 1873;1873;2nd class medal;;;;;;;;;1909;1884;1889;
113;Comerre, Léon;Comerre;;Léon François;Man;1850;Trélon;1916;Paris;French;"Cabanel, Alexandre; Colas, Alphonse";Salon de 1875;1875;3rd class medal;;;;;;;;;;;;
114;Compte-Calix, François-Claudius;Compte-Calix;;François Claudius;Man;1813;Lyon;1880;Chazay-d'Azergues;French;Bonnefond, Claude;"Salon de 1857; Salon de 1859; Salon de 1863";1844;3rd class medal;1857;Rappel of 3rd class medal;1859;Rappel of 3rd class medal;1863;Rappel of 3rd class medal;;;;;;
115;Comte, Charles;Comte;;Pierre Charles;Man;1823;Lyon;1895;Paris;French;"Robert-Fleury, Joseph Nicolas; Bonnefond, Claude";"Salon de 1852; Salon de 1853; Salon de 1855; Salon de 1857";1852;3rd class medal;1853;2nd class medal;1855;Rappel of 2nd class medal;1857;Rappel of 2nd class medal;;;;1857;;
116;Coninck de, Pierre;Coninck de;;Pierre Louis Joseph;Man;1828;Meteren;;;French;Cogniet, Léon;"Salon de 1866; Salon de 1868; Salon de 1873";1866;Unique medal;1868;Unique medal;1873;3rd class medal;;;;;;;;
117;Constant, Benjamin;Constant;;Benjamin Jean-Joseph;Man;1845;Paris;1902;Paris;French;Cabanel, Alexandre;"Salon de 1875; Salon de 1876";1875;3rd class medal;1876;2nd class medal;1896;Medal of honour;;;;;1893;1878;1884;
118;Cormon, Fernand;Cormon;;Fernand Anne;Man;1845;Paris;1924;Paris;French;"Cabanel, Alexandre; Portaels,  Jean François; Fromentin, Eugène; Busson, Charles";"Salon de 1870; Salon de 1873";1870;Unique medal;1873;2nd class medal;1887;Medal of honour;;;;;1898;1880;1889;1912
558;Corot, Camille;Corot;;Jean Baptiste Camille;Man;1796;Paris;1875;Paris;French;"Bertin,  Victor; Michallon, Achille";"Salon de 1848; Salon de 1855";1833;2nd class medal;1848;1st class medal;1855;1st class medal;;;;;;1846;1867;
119;Cot, Pierre-Auguste;Cot;;Pierre Auguste;Man;1837;Bédarieux;1883;Paris;French;"Cabanel, Alexandre; Cogniet, Léon; Bouguereau, William";"Salon de 1870; Salon de 1872";1870;Unique medal;1872;2nd class medal;;;;;;;;1874;;
623;Couder, Auguste;Couder;;Louis-Charles-Auguste;Man;1790;Londres;1873;Paris;French;;Salon de 1848;1848;1st class medal;;;;;;;;;1839;1832;1841;0
120;Courant, Maurice;Courant;;Maurice François Auguste;Man;1847;Le Havre;1924;Poissy;French;Meissonier, Ernest;Salon de 1870;1870;Unique medal;;;;;;;;;;1906;;
121;Courbet, Gustave;Courbet;;Jean Désiré Gustave;Man;1819;Ornans;1877;La Tour de Peilz;French;"Steuben, Carl von; Hesse, Nicolas Auguste; Flajoulot, Charles Antoine";"Salon de 1849; Salon de 1857; Salon de 1861";1849;2nd class medal;1857;Rappel of 2nd class medal;1861;Rappel of 2nd class medal;;;;;;;;
123;Courtat, Louis;Courtat;;Louis Joseph;Man;1847;Paris;1909;Paris;French;Cabanel, Alexandre;"Salon de 1873; Salon de 1874; Salon de 1875";1873;3rd class medal;1874;Rappel of 3rd class medal;1875;1st class medal;;;;;;;;
124;Courtois, Gustave;Courtois;;Gustave Claude Etienne;Man;1852;Pusey;1923;Paris;French;"Gérôme, Jean Léon; Jeanneney, Victor";"Salon de 1878; Salon de 1880";1878;3rd class medal;1880;2nd class medal;;;;;;;;1889;;
125;Couturier, Philibert-Léon;Couturier;;Philibert Leon;Man;1823;Chalon sur Saone;1901;Saint-Quentin;French;"Picot, François Edouard; Couturier, Charles; Couturier, Jean Claude Nicolas";"Salon de 1855; Salon de 1861";1855;3rd class medal;1861;Rappel of 3rd class medal;;;;;;;;;;
126;Curzon de, Alfred;Curzon de;;Marie Paul Alfred;Man;1820;Migné;1895;Paris;French;"Drolling, Martin; Cabat, Louis";"Salon de 1857; Salon de 1859; Salon de 1861; Salon de 1863";1857;2nd class medal;1859;Rappel of 2nd class medal;1861;Rappel of 2nd class medal;1863;Rappel of 2nd class medal;;;;1865;;
127;Dagnan-Bouveret, Pascal-Adolphe-Jean;Dagnan-Bouveret;;Pascal Adolphe Jean;Man;1852;Paris;1929;Paris;French;"Cabanel, Alexandre; Gérôme, Jean Léon";"Salon de 1878; Salon de 1880";1878;3rd class medal;1880;1st class medal;1889;Medal of honour;;;;;1900;1885;1891;
128;Daliphard, Édouard;Daliphard;;Edouard;Man;1833;Rouen;1877;Rouen;French;"Quinaux, Joseph; Morin, Gustave";Salon de 1873;1873;3rd class medal;;;;;;;;;;;;
129;Dameron, Émile;Dameron;;Charles Emile;Man;1848;Paris;1908;Paris;French;Pelouse, Léon;Salon de 1878;1878;3rd class medal;1882;2nd class medal;;;;;;;;1898;;
130;Damoye, Emmanuel;Damoye;;Pierre Emmanuel Eugène;Man;1847;Paris;1916;Paris;French;"Corot, Camille; Daubigny, François; Bonnat, Léon";Salon de 1879;1879;3rd class medal;1884;2nd class medal;;;;;;;;1893;;
131;Dantan, Édouard;Dantan;;Joseph Edouard;Man;1848;Paris;;;French;"Pils, Isidore; Lehmann, Henri";"Salon de 1874; Salon de 1880";1874;3rd class medal;1880;2nd class medal;;;;;;;;1888;;
132;Dargelas, Henri;Dargelas;;André Henri;Man;1828;Bordeaux;1906;Ecouen;French;Picot, François Edouard;Salon de 1864;1864;Unique medal;;;;;;;;;;;;
133;Dauban, Jules-Joseph;Dauban;;Jules Joseph;Man;1822;Paris;1908;Graveron;French;Debay, Auguste;Salon de 1864;1864;Unique medal;;;;;;;;;;1868;;
134;Daubigny, Charles-François;Daubigny;;Charles François;Man;1817;Paris;1878;Paris;French;"Delaroche, Paul; Daubigny, Edmonde-François";"Salon de 1848; Salon de 1853; Salon de 1855; Salon de 1857; Salon de 1859";1848;2nd class medal;1853;1st class medal;1855;3rd class medal;1857;Rappel of 1st class medal;1859;Rappel of 1st class medal;;1859;1873;
135;Daubigny, Karl;Daubigny;;Charles Pierre;Man;1846;Paris;1886;Auvers-sur-Oise;French;Daubigny, François;"Salon de 1868; Salon de 1874";1868;Unique medal;1874;3rd class medal;;;;;;;;;;
559;Dauzats, Adrien;Dauzats;;Adrien;Man;1804;Bordeaux;1868;Paris;French;Gué, Oscar;"Salon de 1848; Salon de 1855";1831;2nd class medal;1835;1st class medal;1848;Rappel of 1st class medal;1855;1st class medal;;;0;1837;;
560;David, Maxime;David;;Maxime;Man;1798;Chalons en Champagne;1870;Paris;French;Mirbel, Aimée Zoé;Salon de 1848;1835;3rd class medal;1836;2nd class medal;1841;1st class medal;1848;Rappel of 2nd class medal;;;;1851;;
136;Dawant, Albert-Pierre;Dawant;;Albert Pierre;Man;1852;Paris;1923;Paris;French;"Cabanel, Alexandre; Pils, Isidore; Laurens, Jean Paul";Salon de 1880;1880;3rd class medal;1885;2nd class medal;;;;;;;;1889;1900;1910
420;Debat-Ponsan, Édouard-Bernard;Debat-Ponsan;;Édouard-Bernard;Man;1847;Toulouse;1913;Paris;French;Cabanel, Alexandre;Salon de 1874;1874;2nd class medal;;;;;;;;;;1881;;
562;Debon, Hippolyte;Debon;;François Hippolyte;Man;1807;Paris;1872;Paris;French;"Abel de Pujol, Alexandre; Gros, Antoine Jean";Salon de 1848;1842;3rd class medal;1846;2nd class medal;1848;Rappel of 2nd class medal;;;;;;;;
561;Dedreux, Alfred;Dedreux;;Alfred Pierre;Man;1810;Paris;1860;Paris;French;Cogniet, Léon;Salon de 1848;1834;3rd class medal;1844;2nd class medal;1848;Rappel of 2nd class medal;;;;;;1857;;
139;Defaux, Alexandre;Defaux;;Alexandre;Man;1826;Bercy;1900;Montigny sur Loing;French;Corot, Camille;"Salon de 1874; Salon de 1875";1874;3rd class medal;1875;2nd class medal;;;;;;;;1881;;
140;Dehodencq, Alfred;Dehodencq;;Edme Alexis Alfred;Man;1822;Paris;1882;Paris;French;Cogniet, Léon;"Salon de 1853; Salon de 1865";1846;3rd class medal;1853;Rappel of 3rd class medal;1865;Unique medal;;;;;;1870;;
563;Delacroix, Eugène;Delacroix;;Ferdinand Victor Eugène;Man;1798;Charenton St Maurice;1863;Paris;French;"Guérin, Gabriel Christophe; Gros, Antoine Jean";"Salon de 1848; Salon de 1855";1824;2nd class medal;1848;1st class medal;1855;Medal of honour;;;;;1851;1831;1846;1855
142;Delacroix, Henri-Eugène;Delacroix;;Henri Eugène;Man;1845;Solesmes;1930;Tonneins;French;"Cabanel, Alexandre; Robert-Fleury, Tony";Salon de 1876;1876;3rd class medal;;;;;;;;;;1894;;
143;Delanoy, Hippolyte;Delanoy;;Hippolyte Pierre;Man;1849;Glasgow;1899;Paris;French;"Gleyre, Charles; Bonnat, Léon; Barrias, Felix; Jobbé-Duval, Felix";Salon de 1879;1879;3rd class medal;;;;;;;;;;;;
144;Delaunay, Jules;Delaunay;;Jules Elie;Man;1828;Nantes;1891;Paris;French;"Sotta, Joachim; Flandrin, Hippolyte; Lamothe, Louis";"Salon de 1859; Salon de 1863; Salon de 1865";1859;3rd class medal;1863;2nd class medal;1865;Unique medal;;;;;1879;1867;1878;
145;Delobbe, Alfred;Delobbe;;François Alfred;Man;1835;Paris;1915;Paris;French;"Couture, Thomas; Bouguereau, William; Lucas, Abel";"Salon de 1874; Salon de 1875";1874;3rd class medal;1875;2nd class medal;;;;;;;;;;
146;Delort, Charles;Delort;;Charles Edouard Edmond;Man;1841;Nîmes;;;French;"Gleyre, Charles; Gérôme, Jean Léon";Salon de 1875;1875;3rd class medal;;;;;;;;;;;;
147;Demont, Adrien-Louis;Demont;;Adrien Louis;Man;1851;Douai;1928;Wissant;French;"Breton, Jules; Breton, Emile; Billet, Pierre Celestin; Blanc, Joseph";Salon de 1879;1879;3rd class medal;1882;2nd class medal;;;;;;;;1891;;
149;Denneulin, Jules;Denneulin;;Jules François;Man;1835;Lille;1904;Lille;French;"Souchon, François; Colas, Alphonse";Salon de 1875;1875;3rd class medal;;;;;;;;;;;;
150;Deschamps, Louis;Deschamps;;Louis Henri;Man;1846;Montémilar;1902;Montélimar;French;Cabanel, Alexandre;Salon de 1877;1877;3rd class medal;;;;;;;;;;;;
564;Desgoffe, Alexandre;Desgoffe;;Alexandre;Man;1805;Paris;1882;Paris;French;"Ingres, Dominique; Watelet, Louis; Rémond, Charles";"Salon de 1848; Salon de 1857";1842;3rd class medal;1843;2nd class medal;1845;1st class medal;1848;Rappel of 2nd class medal;1857;Rappel of 2nd class medal;;1857;;
151;Desgoffe, Blaise;Desgoffe;;Blaise Alexandre;Man;1830;Paris;1901;Paris;French;"Flandrin, Hippolyte; Bouguereau, William";"Salon de 1861; Salon de 1863";1861;3rd class medal;1863;2nd class medal;;;;;;;;1878;;
152;Desjobert, Louis-Eugène;Desjobert;;Louis Rémi Eugène;Man;1817;Châteauroux;1863;Paris;French;"Français, Louis; Jolivard, André; Aligny, Théodore; Huet, Paul";"Salon de 1855; Salon de 1857; Salon de 1861; Salon de 1863";1855;3rd class medal;1857;Rappel of 3rd class medal;1861;2nd class medal;1863;Rappel of 2nd class medal;;;;1863;;
153;Desportes de la Fosse, Emma;Desportes de la Fosse;Beuselin;Andrée Emma Félicité;Woman;1810;Paris;1869;Paris;French;Vinchon, Auguste;Salon de 1861;1840;3rd class medal;1842;2nd class medal;1861;Rappel of 2nd class medal;;;;;;;;
154;Destrem, Casimir;Destrem;;Casimir;Man;1844;Toulouse;1912;Paris;French;Bonnat, Léon;Salon de 1879;1879;3rd class medal;1886;2nd class medal;;;;;;;;;;
155;Detaille, Édouard;Detaille;;Jean Baptiste Edouard;Man;1848;Paris;1912;Paris;French;Meissonier, Ernest;"Salon de 1869; Salon de 1870; Salon de 1873";1869;Unique medal;1870;Unique medal;1873;2nd class medal;1888;Medal of honour;;;1892;1873;1881;1897
156;Devers, Joseph;Devers;;Giuseppe;Man;1823;Turin;1878;Turin;Italian;"Picot, François Edouard; Jollivet, Pierre Jules; Rude, François; Scheffer, Ary";"Salon de 1849; Salon de 1855";1849;3rd class medal;1855;3rd class medal;;;;;;;;;;
157;Devilly, Théodore;Devilly;;Théodore Louis;Man;1818;Metz;1886;Nancy;French;"Delacroix, Eugène; Maréchal, Charles Laurent; Decaen, Alfred";"Salon de 1852; Salon de 1857; Salon de 1859; Salon de 1861";1852;3rd class medal;1857;Rappel of 3rd class medal;1859;Rappel of 3rd class medal;1861;Rappel of 3rd class medal;;;;;;
565;Díaz de la Peña, Narcisse;Díaz de la Peña;;Narcisse Virgilio;Man;1807;Bordeaux;1876;Menton;French;"Souchon, François; Sigalon, Xavier";Salon de 1848;1844;3rd class medal;1846;2nd class medal;1848;1st class medal;;;;;;1851;;
158;Didier, Jules;Didier;;Jules;Man;1831;Paris;1914;Paris;French;"Cogniet, Léon; Laurens, Jules";"Salon de 1866; Salon de 1869";1866;Unique medal;1869;Unique medal;;;;;;;;;;
566;Dien, Claude-Marie-François;Dien;;Claude Marie François;Man;1787;Paris;1865;Paris;French;Audouin, Pierre;Salon de 1848;1838;1st class medal;1848;Rappel of 1st class medal;;;;;;;;1853;;
159;Doucet, Lucien;Doucet;;Lucien Henri;Man;1856;Paris;1895;Saint-Leu d'Esserent;French;"Lefebvre, Jules; Boulanger, Gustave";Salon de 1879;1879;3rd class medal;1887;2nd class medal;;;;;;;;1891;;
160;Douillard, Alexis-Marie-Louis;Douillard;;Alexis Marie Louis;Man;1835;Nantes;1905;Bellevue;French;"Gleyre, Charles; Gérôme, Jean Léon; Flandrin, Hippolyte";Salon de 1878;1878;3rd class medal;;;;;;;;;;;;
161;Dubasty, Adolphe-Henri;Dubasty;;Adolphe Henri;Man;1814;Paris;1884;Paris;French;Ingres, Dominique;Salon de 1857;1845;3rd class medal;1857;Rappel of 3rd class medal;;;;;;;;;;
619;Dubois, Hippolyte;Dubois;;Henri Pierre Hippolyte;Man;1837;Nantes;1909;Samoëns;French;Gleyre, Charles;Salon de 1868;1868;Unique medal;;;;;;;;;;1904;;
163;Dubois, Paul;Dubois;;Paul;Man;1829;Nogent-sur-Seine;1905;Paris;French;Toussaint, Armand;Salon de 1876;1876;1st class medal;;;;;;;;;1876;1867;1874;1886
164;Dubufe, Guillaume;Dubufe;;Guillaume Edouard Marie;Man;1853;Paris;1909;Paris;French;"Dubufe, Edouard; Mazerolle, Joseph";"Salon de 1877; Salon de 1878";1877;3rd class medal;1878;2nd class medal;;;;;;;;1889;1900;
165;Duez, Ernest-Ange;Duez;;Ernest Ange;Man;1843;Paris;1896;Saint-Germain-en-Laye;French;Pils, Isidore;"Salon de 1874; Salon de 1879";1874;3rd class medal;1879;1st class medal;;;;;;;;1880;1889;
166;Dumas, Michel;Dumas;;Michel;Man;1812;Lyon;1885;Lyon;French;"Grobon, Michel; Ingres, Dominique; Bonnefond, Claude";"Salon de 1857; Salon de 1861; Salon de 1863";1857;3rd class medal;1861;Rappel of 3rd class medal;1863;1st class medal;;;;;;1884;;
167;Dupain, Edmond;Dupain;;Edmond Louis;Man;1847;Bordeaux;1933;Paris;French;"Cabanel, Alexandre; Gué, Oscar";"Salon de 1875; Salon de 1877";1875;3rd class medal;1877;1st class medal;;;;;;;;1894;1928;
168;Dupray, Henry-Louis;Dupray;;Henry-Louis;Man;1841;Sédan;1909;Paris;French;"Pils, Isidore; Cogniet, Léon";"Salon de 1872; Salon de 1874";1872;3rd class medal;1874;2nd class medal;;;;;;;;1878;;
170;Dupré, Julien;Dupré;;Julien;Man;1851;Paris;1910;Paris;French;"Pils, Isidore; Lehmann, Henri; Laugée, Désiré François";Salon de 1880;1880;3rd class medal;1881;2nd class medal;;;;;;;;1892;;
169;Dupré, Victor;Dupré;;Léon Victor;Man;1816;Limoges;1879;L'Isle-Adam;French;Dupré, Jules;Salon de 1849;1849;3rd class medal;;;;;;;;;;;;
171;Duran, Carolus;Duran;;Emile Auguste Charles;Man;1838;Lille;1917;Paris;French;"Souchon, François; Cadet de Beaupré, Augustin";"Salon de 1866; Salon de 1869; Salon de 1870; Salon de 1879";1866;Unique medal;1869;Unique medal;1870;Unique medal;1879;Medal of honour;;;1904;1872;1878;1889
172;Duran, Pauline;Duran;Croizette;Pauline Marie;Woman;;Saint-Petersbourg;;;French;;Salon de 1875;1875;3rd class medal;;;;;;;;;;;;
173;Durand, Simon;Durand;;Simon;Man;1838;Genève;1896;Genève;Swiss;"Menn, Barthélémy; Spiess, Moïse";Salon de 1875;1875;3rd class medal;;;;;;;;;;;;
568;Duvaux, Antoine-Jules;Duvaux;;Antoine-Jules;Man;1818;Bordeaux;1884;Paris;French;Charlet, Nicolas Toussaint;Salon de 1848;1848;2nd class medal;;;;;;;;;;;;
174;Duveau, Louis;Duveau;;Louis Jean Noel;Man;1818;Saint-Malo;1867;Paris;French;Cogniet, Léon;"Salon de 1848; Salon de 1864";1846;3rd class medal;1848;2nd class medal;1864;Unique medal;;;;;;;;
175;Duverger, Théophile-Emmanuel;Duverger;;Théophile-Emmanuel;Man;1821;Bordeaux;1898;;French;;"Salon de 1861; Salon de 1863; Salon de 1865";1861;3rd class medal;1863;Rappel of 3rd class medal;1865;Unique medal;;;;;;;;
176;Edelfelt, Albert;Edelfelt;;Albert Gustaf Aristide;Man;1854;Helsinki;1905;Haikko;Finnish;"Gérôme, Jean Léon; Lindholm, Berndt; Becker, Adolf von; Reinhold, Bernhard";Salon de 1880;1880;3rd class medal;1882;2nd class medal;;;;;;;;1886;1889;1901
177;Ehrmann, François;Ehrmann;;François Emile;Man;1833;Strasbourg;1910;Paris;French;"Gleyre, Charles; Gilbert, Jacques";"Salon de 1865; Salon de 1868; Salon de 1874";1865;Unique medal;1868;Unique medal;1874;3rd class medal;;;;;;1879;;
178;Escallier, Éléonore;Escallier;Légerot;Marie Caroline Eleonore;Woman;1827;Poligny;1888;Sèvres;French;Ziegler, Jules;Salon de 1868;1868;Unique medal;;;;;;;;;;;;
179;Faivre, Tony;Faivre;;Antoine Jean Etienne;Man;1830;Besançon;1905;Paris;French;Picot, François Edouard;Salon de 1864;1864;Unique medal;;;;;;;;;;;;
180;Faivre-Duffer, Louis;Faivre-Duffer;;Louis Stanislas;Man;1818;Nancy;1897;;French;"Bonnefond, Claude; Flandrin, Hippolyte; Orsel, Victor";"Salon de 1850-1851; Salon de 1861";1851;3rd class medal;1861;Rappel of 3rd class medal;;;;;;;;;;
181;Falguière, Alexandre;Falguière;;Jean Alexandre Joseph;Man;1831;Toulouse;1900;Paris;French;"Carrier-Belleuse, Albert Ernest; Chenillion, Jean Louis; Jouffroy, François";Salon de 1875;1875;2nd class medal;;;;;;;;;1883;1870;1878;1889
182;Fantin-Latour, Henri;Fantin-Latour;;Ignace Jean Théodore Henri;Man;1836;Grenoble;1904;Buré;French;"Lecoq de Boisboudran, Horace; Fantin Latour, Théodore; Péron, Alexandre";"Salon de 1870; Salon de 1875";1870;Unique medal;1875;2nd class medal;;;;;;;;1879;1900;
183;Faruffini, Federico;Faruffini;;Federico;Man;1833;Sesto San Giovanni;1869;Perouse;Italian;"Ferreri, Cesare; Trécourt, Giacomo";Salon de 1866;1866;Unique medal;;;;;;;;;;;;
184;Faure, Eugène;Faure;;Eugène;Man;1822;Seyssinet;1879;Bourg Saint Andréol;French;"David d'Angers, Pierre Jean; Rude, François";"Salon de 1864; Salon de 1872";1864;Unique medal;1872;2nd class medal;;;;;;;;;;
569;Fauvelet, Jean;Fauvelet;;Jean Baptiste;Man;1819;Bordeaux;1883;Chartres;French;"Meissonier, Ernest; Lacour, Pierre";Salon de 1848;1848;2nd class medal;;;;;;;;;;;;
185;Favard, Antoine;Favard;;Antoine Gabriel;Man;1829;Lyon;1877;;French;"Bonnefond, Claude; Vibert, Victor";Salon de 1867;1867;Unique medal;;;;;;;;;;;;
186;Ferrier, Gabriel;Ferrier;;Gabriel Joseph Marie Augustin;Man;1847;Nîmes;1914;Paris;French;"Pils, Isidore; Lecoq de Boisboudran, Horace; Hébert, Ernest";"Salon de 1876; Salon de 1878";1876;2nd class medal;1878;1st class medal;1903;Medal of honour;;;;;1906;1884;1903;1911
187;Feyen, Eugène;Feyen;;Jacques Eugène;Man;1815;Bey-sur-Seille;1908;Paris;French;"Delaroche, Paul; Cogniet, Léon";"Salon de 1866; Salon de 1880";1866;Unique medal;1880;2nd class medal;;;;;;;;1881;;
188;Feyen-Perrin, Augustin;Feyen-Perrin;;François Nicolas Auguste;Man;1826;Bey-sur-Seille;1888;Paris;French;"Yvon, Adolphe; Cogniet, Léon; Drolling, Martin";"Salon de 1865; Salon de 1867; Salon de 1874";1865;Unique medal;1867;Unique medal;1874;3rd class medal;;;;;;1878;;
189;Fichel, Eugène;Fichel;;Benjamin Eugène;Man;1826;Paris;1895;Paris;French;"Delaroche, Paul; Drolling, Martin";"Salon de 1857; Salon de 1861; Salon de 1869";1857;3rd class medal;1861;Rappel of 3rd class medal;1869;Unique medal;;;;;;1870;;
190;Flahaut, Léon;Flahaut;;Léon Charles;Man;1831;Paris;1920;Paris;French;"Corot, Camille; Fleury, Léon";"Salon de 1869; Salon de 1878";1869;Unique medal;1878;2nd class medal;;;;;;;;1881;;
191;Flameng, François;Flameng;;Léopold François;Man;1856;Paris;1923;Paris;French;"Cabanel, Alexandre; Laurens, Jean Paul; Flameng, Leopold; Hédouin, Edmond";Salon de 1879;1879;2nd class medal;;;;;;;;;1905;1885;1896;1905
570;Flandrin, Hippolyte;Flandrin;;Jean Hippolyte;Man;1809;Lyon;1864;Rome;French;"Ingres, Dominique; Révoil, Pierre; Legendre-Héral, Jean François; Duclaux, Antoine Jean";"Salon de 1848; Salon de 1855";1836;2nd class medal;1837;1st class medal;1848;Rappel of 1st class medal;1855;1st class medal;;;1853;1841;1853;
571;Flandrin, Paul;Flandrin;;Jean Paul;Man;1811;Lyon;1902;Paris;French;"Ingres, Dominique; Révoil, Pierre; Bertin,  Victor";Salon de 1848;1839;2nd class medal;1847;1st class medal;1848;Rappel of 2nd class medal;;;;;;1852;;
192;Fontaine, Edmé-Adolphe;Fontaine;;Edmé-Adolphe;Man;1814;Noisy le Grand;1878;;French;Cogniet, Léon;Salon de 1852;1852;3rd class medal;;;;;;;;;;1870;;
193;Fontenay, Alexis-Daligé de;Fontenay;;Léonard Alexis;Man;1813;Paris;1892;Paris;French;"Hersent, Louis; Watelet, Louis";"Salon de 1861; Salon de 1863";1841;3rd class medal;1844;2nd class medal;1861;Rappel of 2nd class medal;1863;Rappel of 2nd class medal;;;;;;
194;Fortin, Charles;Fortin;;Charles;Man;1815;Paris;1865;Paris;French;"Roqueplan, Camille; Beaume, Joseph";"Salon de 1849; Salon de 1857; Salon de 1859; Salon de 1861";1849;1st class medal;1857;Rappel of 1st class medal;1859;Rappel of 1st class medal;1861;Rappel of 1st class medal;;;;1861;;
195;Foubert, Émile-Louis;Foubert;;Emile Louis;Man;1848;Paris;1911;Paris;French;"Bonnat, Léon; Busson, Charles; Zo, Achille; Levy, Henri";Salon de 1880;1880;3rd class medal;1885;2nd class medal;;;;;;;;;;
196;Foulongne, Alfred-Charles;Foulongne;;Alfred-Charles;Man;1821;Rouen;1897;Paris;French;"Delaroche, Paul; Gleyre, Charles";Salon de 1869;1869;Unique medal;;;;;;;;;;;;
572;Français, François-Louis;Français;;François-Louis;Man;1814;Plombières les Bains;1897;Paris;French;"Corot, Camille; Gigoux, Jean François";"Salon de 1848; Salon de 1855";1841;3rd class medal;1848;1st class medal;1855;1st class medal;1890;Medal of honour;;;1890;1853;1867;
197;Frère, Édouard;Frère;;Pierre Edouard;Man;1819;Paris;1866;Ecouen;French;Delaroche, Paul;"Salon de 1850-1851; Salon de 1852; Salon de 1855";1851;3rd class medal;1852;2nd class medal;1855;3rd class medal;;;;;;1855;;
